Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW 750e xDrive,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0H70,large car,6,24/60,27/72,25/65,9,Yes,132
BMW 750e xDrive,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0H70,large car,6,24/60,27/72,25/65,9,Yes,132
BMW 760i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,large car,4,18,25,20,4,No,427
BMW 760i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXJ04.4S68,large car,4,18,25,20,4,No,427
BMW 840i Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,small car,2,21,29,24,5,No,368
BMW 840i Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,small car,2,21,29,24,5,No,368
BMW 840i Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,small car,2,21,29,24,5,No,368
BMW 840i Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,small car,2,21,29,24,5,No,368
BMW 840i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,midsize car,2,21,29,24,5,No,368
BMW 840i Gran Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,midsize car,2,21,29,24,5,No,368
BMW 840i xDrive Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,small car,2,21,29,24,5,No,373
BMW 840i xDrive Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,small car,2,21,29,24,5,No,373
BMW 840i xDrive Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,small car,2,21,29,24,5,No,373
BMW 840i xDrive Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,small car,2,21,29,24,5,No,373
BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV03.0B07,midsize car,2,21,29,24,5,No,373
BMW 840i xDrive Gran Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV03.0B07,midsize car,2,21,29,24,5,No,373
BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,midsize car,2,17,24,19,4,No,458
BMW ALPINA B8 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4N63,midsize car,2,17,24,19,4,No,458
BMW Alpina XB7,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,16,20,17,3,No,506
BMW Alpina XB7,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXJ04.4S68,standard SUV,4,16,20,17,3,No,506
BMW M2 Coupe,3,6,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,473
BMW M2 Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,473
BMW M2 Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,466
BMW M2 Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,466
BMW M240i Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,23,32,26,5,No,339
BMW M240i Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0B5X,small car,4,23,32,26,5,No,339
BMW M240i Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,23,32,26,5,No,336
BMW M240i Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0B5X,small car,4,23,32,26,5,No,336
BMW M3,3,6,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,472
BMW M3,3,6,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,472
BMW M3 Competition,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,470
BMW M3 Competition,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,470
BMW M3 Competition M,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,18,4,No,477
BMW M3 Competition M,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,18,4,No,477
BMW M340i,3,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,27,33,29,6,No,299
BMW M340i,3,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,27,33,29,6,No,299
BMW M340i,3,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,26,33,29,6,No,304
BMW M340i,3,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,26,33,29,6,No,304
BMW M4 CS Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,18,4,No,478
BMW M4 CS Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,18,4,No,478
BMW M4 Competition Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,470
BMW M4 Competition Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,470
BMW M4 Competition M,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,18,4,No,472
BMW M4 Competition M,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,18,4,No,472
BMW M4 Competition M Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,22,18,4,No,479
BMW M4 Competition M Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,22,18,4,No,479
BMW M4 Coupe,3,6,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0SM3,small car,4,16,23,19,4,No,472
BMW M4 Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0SM3,small car,4,16,23,19,4,No,472
BMW M440i,3,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,27,34,30,6,No,296
BMW M440i,3,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,27,34,30,6,No,296
BMW M440i,3,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,25,32,28,6,No,312
BMW M440i,3,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,25,32,28,6,No,312
BMW M440i Convertible,3,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,27,33,29,6,No,301
BMW M440i Convertible,3,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,27,33,29,6,No,301
BMW M440i Gran Coupe,3,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,26,32,28,6,No,312
BMW M440i Gran Coupe,3,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,26,32,28,6,No,312
BMW M440i Gran Coupe,3,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,25,31,27,5,No,320
BMW M440i Gran Coupe,3,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,25,31,27,5,No,320
BMW M440i xDrive Coupe,3,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,26,33,29,6,No,301
BMW M440i xDrive Coupe,3,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small car,6,26,33,29,6,No,301
BMW M5,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXV04.4H9X,midsize car,4,12/45,17/57,14/50,6,No,285
BMW M5,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXV04.4H9X,midsize car,4,12/45,17/57,14/50,6,No,285
BMW M8 Competition Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,midsize car,2,15,22,17,3,No,517
BMW M8 Competition Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4SM5,midsize car,2,15,22,17,3,No,517
BMW M850i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,small car,2,17,24,19,4,No,456
BMW M850i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4N63,small car,2,17,24,19,4,No,456
BMW M850i xDrive Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,small car,2,17,24,19,4,No,458
BMW M850i xDrive Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4N63,small car,2,17,24,19,4,No,458
BMW M850i xDrive Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,midsize car,2,17,24,19,4,No,458
BMW M850i xDrive Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV04.4N63,midsize car,2,17,24,19,4,No,458
BMW X1 M35i,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SBMXT02.0U1X,small SUV,5,23,31,26,5,No,334
BMW X1 M35i,2,4,AMS-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SBMXT02.0U1X,small SUV,5,23,31,26,5,No,334
BMW X1 xDrive28i,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X1 xDrive28i,2,4,AMS-7,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X2 M35i,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SBMXT02.0U1X,small SUV,5,23,32,26,5,No,332
BMW X2 M35i,2,4,AMS-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SBMXT02.0U1X,small SUV,5,23,32,26,5,No,332
BMW X2 xDrive28i,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X2 xDrive28i,2,4,AMS-7,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X3 M50i xDrive,3,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small SUV,6,25,30,27,5,No,320
BMW X3 M50i xDrive,3,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B5P,small SUV,6,25,30,27,5,No,320
BMW X3 xDrive30i,2,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small SUV,7,27,33,29,6,No,299
BMW X3 xDrive30i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small SUV,7,27,33,29,6,No,299
BMW X4 M,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M Competition,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M Competition,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M40i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT03.0G2X,small SUV,4,22,26,23,5,No,377
BMW X4 M40i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXT03.0G2X,small SUV,4,22,26,23,5,No,377
BMW X4 xDrive30i,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0B4X,small SUV,6,21,27,24,5,No,372
BMW X4 xDrive30i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ02.0B4X,small SUV,6,21,27,24,5,No,372
BMW X5 M Competition,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X5 M Competition,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X5 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X5 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X5 sDrive40i,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,360
BMW X5 sDrive40i,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,360
BMW X5 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,352
BMW X5 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,352
BMW X5 xDrive50e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0H70,standard SUV,6,22/57,23/59,22/58,9,Yes,130
BMW X5 xDrive50e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0H70,standard SUV,6,22/57,23/59,22/58,9,Yes,130
BMW X6 M Competition,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X6 M Competition,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X6 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X6 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X6 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,26,24,5,No,359
BMW X6 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,standard SUV,6,23,26,24,5,No,359
BMW X7 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,16,20,18,4,No,498
BMW X7 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXJ04.4S68,standard SUV,4,16,20,18,4,No,498
BMW X7 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,20,24,22,5,No,397
BMW X7 xDrive40i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,standard SUV,6,20,24,22,5,No,397
BMW XM,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,244
BMW XM,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,244
BMW XM Label,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,255
BMW XM Label,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,255
BMW Z4,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0B4X,small car,6,25,33,28,6,No,312
BMW Z4,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ02.0B4X,small car,6,25,33,28,6,No,312
BMW Z4 M40i,3,6,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,19,26,22,5,No,407
BMW Z4 M40i,3,6,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0B5X,small car,4,19,26,22,5,No,407
BMW Z4 M40i,3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,23,29,25,5,No,346
BMW Z4 M40i,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SBMXV03.0B5X,small car,4,23,29,25,5,No,346
"BMW i4 M50 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,93,96,94,10,Elite,0
"BMW i4 M50 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,93,96,94,10,Elite,0
"BMW i4 M50 Gran Coupe (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,80,80,80,10,Elite,0
"BMW i4 M50 Gran Coupe (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,80,80,80,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (18"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,117,114,116,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (18"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,117,114,116,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,108,104,106,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,108,104,106,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (18"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,113,111,112,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (18"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,113,111,112,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,106,103,104,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,106,103,104,10,Elite,0
BMW i4 xDrive40 Gran Coupe (18'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,99,103,101,10,Elite,0
BMW i4 xDrive40 Gran Coupe (18'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,99,103,101,10,Elite,0
BMW i4 xDrive40 Gran Coupe (19'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,93,95,94,10,Elite,0
BMW i4 xDrive40 Gran Coupe (19'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,93,95,94,10,Elite,0
BMW i5 M60 xDrive Sedan (19'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,89,91,90,10,Elite,0
BMW i5 M60 xDrive Sedan (19'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,89,91,90,10,Elite,0
BMW i5 M60 xDrive Sedan (20'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,88,88,88,10,Elite,0
BMW i5 M60 xDrive Sedan (20'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,88,88,88,10,Elite,0
BMW i5 M60 xDrive Sedan (21'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,83,85,84,10,Elite,0
BMW i5 M60 xDrive Sedan (21'' Wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,83,85,84,10,Elite,0
BMW i5 eDrive40 Sedan (19'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,104,105,105,10,Elite,0
BMW i5 eDrive40 Sedan (19'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,104,105,105,10,Elite,0
BMW i5 eDrive40 Sedan (20'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,99,98,99,10,Elite,0
BMW i5 eDrive40 Sedan (20'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,99,98,99,10,Elite,0
BMW i5 eDrive40 Sedan (21'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,97,94,96,10,Elite,0
BMW i5 eDrive40 Sedan (21'' Wheels),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2S,small car,10,97,94,96,10,Elite,0
"BMW i5 xDrive40 Sedan (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,92,95,93,10,Elite,0
"BMW i5 xDrive40 Sedan (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SBMXV00.0G2X,small car,10,92,95,93,10,Elite,0
